record_id,record_hash,case_id,case_type,originating_station_id,district_id,state_id,record_type,sensitivity_level,victim_flag,witness_flag,juvenile_flag,evidence_media_flag,sealed_status,retention_status,owner_agency,raw_record_included,synthetic_only
REC-000011,042d35f4578bbf5ff1ba3965,CASE-00137,MISSING_PERSON,STATE_03_DIST_02_PS_03,STATE_03_DIST_02,STATE_03,CYBERCRIME_COMPLAINT,HIGH,false,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000012,c6a572862caa5832f9d55a39,CASE-00060,FINANCIAL_CRIME,STATE_01_DIST_03_PS_02,STATE_01_DIST_03,STATE_01,FORENSIC_REPORT,HIGH,false,false,false,false,OPEN,ARCHIVED,POLICE,false,true
REC-000013,05fbaffbdcc8ed96f536c6a1,CASE-00158,WOMEN_CHILD_SAFETY,STATE_02_DIST_04_PS_01,STATE_02_DIST_04,STATE_02,VICTIM_RECORD,HIGH,true,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000014,201bd2e21b21dd12c27511f3,CASE-00190,GENERAL_THEFT,STATE_03_DIST_04_PS_02,STATE_03_DIST_04,STATE_03,WITNESS_STATEMENT,MEDIUM,false,true,false,false,OPEN,ARCHIVED,POLICE,false,true
REC-000015,04bb3bbec77f28b17144322b,CASE-00232,WOMEN_CHILD_SAFETY,STATE_03_DIST_02_PS_01,STATE_03_DIST_02,STATE_03,CASE_DIARY,HIGH,true,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000016,ebee7338989614ba92eb1548,CASE-00346,WOMEN_CHILD_SAFETY,STATE_03_DIST_04_PS_02,STATE_03_DIST_04,STATE_03,CYBERCRIME_COMPLAINT,HIGH,true,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000017,e1a5c2e42c1a757dba4cde54,CASE-00274,VIOLENT_CRIME,STATE_02_DIST_03_PS_01,STATE_02_DIST_03,STATE_02,EVIDENCE_MEDIA,CLASSIFIED,false,false,false,true,SEALED,ACTIVE,POLICE,false,true
REC-000018,f7957a653c92d0a1cfcc053a,CASE-00331,CYBER_FRAUD,STATE_01_DIST_04_PS_02,STATE_01_DIST_04,STATE_01,JUVENILE_RECORD,CLASSIFIED,false,false,true,false,OPEN,ARCHIVED,POLICE,false,true
REC-000019,7cde120b6e55c28ec650e2f7,CASE-00265,MISSING_PERSON,STATE_02_DIST_04_PS_02,STATE_02_DIST_04,STATE_02,FIR_SUMMARY,LOW,false,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000020,dc6ed48644cef8458ae92ea7,CASE-00335,GENERAL_THEFT,STATE_03_DIST_03_PS_02,STATE_03_DIST_03,STATE_03,VICTIM_RECORD,HIGH,true,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000021,df4d1c0d660e87790d82e71b,CASE-00148,JUVENILE_PROTECTION,STATE_02_DIST_03_PS_01,STATE_02_DIST_03,STATE_02,COURT_SUBMISSION,MEDIUM,false,false,true,false,OPEN,ACTIVE,POLICE,false,true
REC-000022,3c00705a45e0f58dab6ee427,CASE-00278,FINANCIAL_CRIME,STATE_02_DIST_01_PS_01,STATE_02_DIST_01,STATE_02,FORENSIC_REPORT,HIGH,false,false,false,false,OPEN,ARCHIVED,POLICE,false,true
REC-000023,f9eb939b20b9072971ac4027,CASE-00102,NARCOTICS,STATE_03_DIST_01_PS_03,STATE_03_DIST_01,STATE_03,FORENSIC_REPORT,CLASSIFIED,false,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000024,1fc56dd6be6f6936ed29a781,CASE-00140,WOMEN_CHILD_SAFETY,STATE_01_DIST_03_PS_02,STATE_01_DIST_03,STATE_01,WITNESS_STATEMENT,CLASSIFIED,true,true,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000025,dd4a15297476be169ab897a3,CASE-00020,MISSING_PERSON,STATE_03_DIST_02_PS_01,STATE_03_DIST_02,STATE_03,FIR_SUMMARY,MEDIUM,false,false,false,false,SEALED,ACTIVE,POLICE,false,true
REC-000026,603952239175b0f17942d266,CASE-00169,WOMEN_CHILD_SAFETY,STATE_02_DIST_03_PS_01,STATE_02_DIST_03,STATE_02,EVIDENCE_MEDIA,HIGH,true,false,false,true,OPEN,ARCHIVED,POLICE,false,true
REC-000027,db675945c3a004fc20e2e374,CASE-00325,NARCOTICS,STATE_01_DIST_02_PS_03,STATE_01_DIST_02,STATE_01,FORENSIC_REPORT,HIGH,false,false,false,false,OPEN,UNDER_REVIEW,POLICE,false,true
REC-000028,73230ba21a564ed91e8c7eea,CASE-00290,GENERAL_THEFT,STATE_03_DIST_02_PS_02,STATE_03_DIST_02,STATE_03,FIR_SUMMARY,MEDIUM,false,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000029,427ff405218f63d90bc57611,CASE-00164,CYBER_FRAUD,STATE_03_DIST_01_PS_03,STATE_03_DIST_01,STATE_03,JUVENILE_RECORD,CLASSIFIED,false,false,true,false,SEALED,ACTIVE,POLICE,false,true
REC-000030,ce330aa2f17b5fc410eb92a3,CASE-00057,MISSING_PERSON,STATE_01_DIST_03_PS_02,STATE_01_DIST_03,STATE_01,WITNESS_STATEMENT,HIGH,false,true,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000031,a62882abc3511c2fb68d874b,CASE-00228,NARCOTICS,STATE_02_DIST_02_PS_02,STATE_02_DIST_02,STATE_02,FIR_SUMMARY,LOW,false,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000032,1a8cd49509cc3470cdf5eeb8,CASE-00087,FINANCIAL_CRIME,STATE_01_DIST_02_PS_01,STATE_01_DIST_02,STATE_01,CYBERCRIME_COMPLAINT,MEDIUM,false,false,false,false,OPEN,ARCHIVED,POLICE,false,true
REC-000033,25579b73e0cca8193764a119,CASE-00151,CYBER_FRAUD,STATE_02_DIST_01_PS_01,STATE_02_DIST_01,STATE_02,EVIDENCE_MEDIA,HIGH,false,false,false,true,SEALED,ACTIVE,POLICE,false,true
REC-000034,9917dc83548405dcdfa48501,CASE-00200,WOMEN_CHILD_SAFETY,STATE_02_DIST_04_PS_03,STATE_02_DIST_04,STATE_02,FIR_SUMMARY,MEDIUM,true,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000035,3fa5524fcb236c672926f273,CASE-00244,FINANCIAL_CRIME,STATE_02_DIST_01_PS_03,STATE_02_DIST_01,STATE_02,COURT_SUBMISSION,HIGH,false,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000036,19c0033126dabf1c18a8e634,CASE-00222,MISSING_PERSON,STATE_01_DIST_03_PS_02,STATE_01_DIST_03,STATE_01,JUVENILE_RECORD,CLASSIFIED,false,false,true,false,OPEN,ACTIVE,POLICE,false,true
REC-000037,3becdfa7ff5a42c711468de9,CASE-00280,VIOLENT_CRIME,STATE_01_DIST_03_PS_01,STATE_01_DIST_03,STATE_01,JUVENILE_RECORD,CLASSIFIED,false,false,true,false,OPEN,ACTIVE,POLICE,false,true
REC-000038,77d32ca0b64129acb6ad66e4,CASE-00002,FINANCIAL_CRIME,STATE_03_DIST_02_PS_01,STATE_03_DIST_02,STATE_03,COURT_SUBMISSION,MEDIUM,false,false,false,false,OPEN,UNDER_REVIEW,POLICE,false,true
REC-000039,b5bb4318d3ac813114ba006d,CASE-00327,FINANCIAL_CRIME,STATE_02_DIST_04_PS_03,STATE_02_DIST_04,STATE_02,CASE_DIARY,MEDIUM,false,false,false,false,OPEN,ARCHIVED,POLICE,false,true
REC-000040,88b72e520b29734a6950a1ba,CASE-00176,FINANCIAL_CRIME,STATE_03_DIST_01_PS_03,STATE_03_DIST_01,STATE_03,VICTIM_RECORD,CLASSIFIED,true,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000041,57feb3c60423fddfa0461895,CASE-00084,GENERAL_THEFT,STATE_01_DIST_03_PS_01,STATE_01_DIST_03,STATE_01,EVIDENCE_MEDIA,CLASSIFIED,false,false,false,true,SEALED,ACTIVE,POLICE,false,true
REC-000042,a1b52acab80056cbe18f7a51,CASE-00191,GENERAL_THEFT,STATE_01_DIST_01_PS_02,STATE_01_DIST_01,STATE_01,EVIDENCE_MEDIA,HIGH,false,false,false,true,OPEN,ARCHIVED,POLICE,false,true
REC-000043,5ace8dc7e04de95336593c34,CASE-00073,VIOLENT_CRIME,STATE_01_DIST_03_PS_02,STATE_01_DIST_03,STATE_01,CASE_DIARY,CLASSIFIED,false,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000044,b29b01f14568ba1dcdc4e111,CASE-00050,CYBER_FRAUD,STATE_01_DIST_02_PS_02,STATE_01_DIST_02,STATE_01,WITNESS_STATEMENT,HIGH,false,true,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000045,c54e9a5030ced1940176de55,CASE-00153,FINANCIAL_CRIME,STATE_03_DIST_01_PS_02,STATE_03_DIST_01,STATE_03,VICTIM_RECORD,HIGH,true,false,false,false,OPEN,UNDER_REVIEW,POLICE,false,true
REC-000046,39d3051b583edb8f08d3ac66,CASE-00083,NARCOTICS,STATE_03_DIST_01_PS_03,STATE_03_DIST_01,STATE_03,CASE_DIARY,HIGH,false,false,false,false,OPEN,UNDER_REVIEW,POLICE,false,true
REC-000047,fb9b68002468d3dcf43099d5,CASE-00131,GENERAL_THEFT,STATE_03_DIST_04_PS_03,STATE_03_DIST_04,STATE_03,JUVENILE_RECORD,HIGH,false,false,true,false,OPEN,ACTIVE,POLICE,false,true
REC-000048,e2ab6a19944224989c13a294,CASE-00306,WOMEN_CHILD_SAFETY,STATE_02_DIST_02_PS_01,STATE_02_DIST_02,STATE_02,CASE_DIARY,HIGH,true,false,false,false,OPEN,ARCHIVED,POLICE,false,true
REC-000049,0151519fbad7b5e83baba9a4,CASE-00283,CYBER_FRAUD,STATE_01_DIST_01_PS_03,STATE_01_DIST_01,STATE_01,CASE_DIARY,HIGH,false,false,false,false,OPEN,UNDER_REVIEW,POLICE,false,true
REC-000050,7bfd9dd528a8617439385c28,CASE-00241,VIOLENT_CRIME,STATE_02_DIST_03_PS_01,STATE_02_DIST_03,STATE_02,EVIDENCE_MEDIA,CLASSIFIED,false,false,false,true,OPEN,ARCHIVED,POLICE,false,true
REC-000051,ed34cedaaff932ef71e53810,CASE-00074,VIOLENT_CRIME,STATE_01_DIST_04_PS_03,STATE_01_DIST_04,STATE_01,WITNESS_STATEMENT,HIGH,false,true,false,false,OPEN,ARCHIVED,POLICE,false,true
REC-000052,baa6b6685b0bb577aff12148,CASE-00291,JUVENILE_PROTECTION,STATE_02_DIST_01_PS_03,STATE_02_DIST_01,STATE_02,WITNESS_STATEMENT,HIGH,false,true,true,false,OPEN,ACTIVE,POLICE,false,true
REC-000053,c7a1cb7711a9318d95ea172b,CASE-00043,MISSING_PERSON,STATE_02_DIST_01_PS_02,STATE_02_DIST_01,STATE_02,EVIDENCE_MEDIA,HIGH,false,false,false,true,OPEN,ACTIVE,POLICE,false,true
REC-000054,1401f3e1054a0aaab0eeff1c,CASE-00352,MISSING_PERSON,STATE_03_DIST_02_PS_03,STATE_03_DIST_02,STATE_03,COURT_SUBMISSION,MEDIUM,false,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000055,c3c560b7671d3f284c65f621,CASE-00196,FINANCIAL_CRIME,STATE_02_DIST_04_PS_01,STATE_02_DIST_04,STATE_02,CASE_DIARY,HIGH,false,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000056,27a2461445cecdd70ffd515e,CASE-00030,JUVENILE_PROTECTION,STATE_03_DIST_01_PS_01,STATE_03_DIST_01,STATE_03,VICTIM_RECORD,HIGH,true,false,true,false,OPEN,ARCHIVED,POLICE,false,true
REC-000057,ac818d040ffe1967848958a0,CASE-00312,WOMEN_CHILD_SAFETY,STATE_03_DIST_03_PS_02,STATE_03_DIST_03,STATE_03,CYBERCRIME_COMPLAINT,HIGH,true,false,false,false,SEALED,ACTIVE,POLICE,false,true
REC-000058,31c8bd69fafd25493ad89627,CASE-00065,CYBER_FRAUD,STATE_02_DIST_03_PS_01,STATE_02_DIST_03,STATE_02,FIR_SUMMARY,MEDIUM,false,false,false,false,OPEN,ARCHIVED,POLICE,false,true
REC-000059,5946ff42ea109f3eb283e734,CASE-00017,CYBER_FRAUD,STATE_03_DIST_02_PS_01,STATE_03_DIST_02,STATE_03,EVIDENCE_MEDIA,CLASSIFIED,false,false,false,true,OPEN,ACTIVE,POLICE,false,true
REC-000060,d12cf10e373243a5cf3cbde4,CASE-00001,WOMEN_CHILD_SAFETY,STATE_03_DIST_01_PS_03,STATE_03_DIST_01,STATE_03,FORENSIC_REPORT,HIGH,true,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000061,de8ed503b092aff04a4f6676,CASE-00083,NARCOTICS,STATE_03_DIST_01_PS_03,STATE_03_DIST_01,STATE_03,COURT_SUBMISSION,HIGH,false,false,false,false,SEALED,ACTIVE,POLICE,false,true
REC-000062,0679ca444beed76eeaaa44db,CASE-00087,FINANCIAL_CRIME,STATE_01_DIST_02_PS_01,STATE_01_DIST_02,STATE_01,EVIDENCE_MEDIA,HIGH,false,false,false,true,OPEN,ARCHIVED,POLICE,false,true
REC-000063,fb8dce77863a67f68042baad,CASE-00035,NARCOTICS,STATE_03_DIST_03_PS_03,STATE_03_DIST_03,STATE_03,VICTIM_RECORD,CLASSIFIED,true,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000064,b551a9d03a67cab2a5cd84fc,CASE-00317,JUVENILE_PROTECTION,STATE_01_DIST_01_PS_02,STATE_01_DIST_01,STATE_01,EVIDENCE_MEDIA,CLASSIFIED,false,false,true,true,OPEN,ACTIVE,POLICE,false,true
REC-000065,7c302dc01cfc5b0cb0defb8f,CASE-00107,NARCOTICS,STATE_01_DIST_03_PS_03,STATE_01_DIST_03,STATE_01,FORENSIC_REPORT,HIGH,false,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000066,86a01f1aea6edb3a8fe86ce4,CASE-00065,CYBER_FRAUD,STATE_02_DIST_03_PS_01,STATE_02_DIST_03,STATE_02,VICTIM_RECORD,HIGH,true,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000067,47b911abbdd432ecb134dc06,CASE-00333,JUVENILE_PROTECTION,STATE_02_DIST_01_PS_02,STATE_02_DIST_01,STATE_02,CYBERCRIME_COMPLAINT,HIGH,false,false,true,false,OPEN,ACTIVE,POLICE,false,true
REC-000068,83c5b0534e468f6304fb5a25,CASE-00081,WOMEN_CHILD_SAFETY,STATE_03_DIST_02_PS_01,STATE_03_DIST_02,STATE_03,FIR_SUMMARY,LOW,true,false,false,false,OPEN,ARCHIVED,POLICE,false,true
REC-000069,c3f180cb72fe055ae1475896,CASE-00294,VIOLENT_CRIME,STATE_01_DIST_04_PS_03,STATE_01_DIST_04,STATE_01,FORENSIC_REPORT,HIGH,false,false,false,false,OPEN,UNDER_REVIEW,POLICE,false,true
REC-000070,f905e90f3faf128a9c8c9d40,CASE-00291,JUVENILE_PROTECTION,STATE_02_DIST_01_PS_03,STATE_02_DIST_01,STATE_02,JUVENILE_RECORD,HIGH,false,false,true,false,OPEN,ACTIVE,POLICE,false,true
REC-000071,1ce4791bcfe4088122f5f137,CASE-00338,VIOLENT_CRIME,STATE_03_DIST_03_PS_03,STATE_03_DIST_03,STATE_03,CYBERCRIME_COMPLAINT,HIGH,false,false,false,false,OPEN,UNDER_REVIEW,POLICE,false,true
REC-000072,281e1f608e85ce348899d8b8,CASE-00200,WOMEN_CHILD_SAFETY,STATE_02_DIST_04_PS_03,STATE_02_DIST_04,STATE_02,CASE_DIARY,HIGH,true,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000073,5eb5e8f5a64d9dc3267ff247,CASE-00183,MISSING_PERSON,STATE_01_DIST_04_PS_03,STATE_01_DIST_04,STATE_01,WITNESS_STATEMENT,CLASSIFIED,false,true,false,false,OPEN,ARCHIVED,POLICE,false,true
REC-000074,ff048431197aa6608782234f,CASE-00308,FINANCIAL_CRIME,STATE_02_DIST_04_PS_02,STATE_02_DIST_04,STATE_02,FIR_SUMMARY,LOW,false,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000075,6a40e28a9342f16dc5165083,CASE-00035,NARCOTICS,STATE_03_DIST_03_PS_03,STATE_03_DIST_03,STATE_03,VICTIM_RECORD,HIGH,true,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000076,035947ce158c415bf5e8b231,CASE-00235,JUVENILE_PROTECTION,STATE_02_DIST_03_PS_03,STATE_02_DIST_03,STATE_02,WITNESS_STATEMENT,HIGH,false,true,true,false,OPEN,UNDER_REVIEW,POLICE,false,true
REC-000077,8eb06b091b265235ad42db41,CASE-00212,VIOLENT_CRIME,STATE_02_DIST_01_PS_02,STATE_02_DIST_01,STATE_02,CYBERCRIME_COMPLAINT,MEDIUM,false,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000078,c1740ac718e7a67336db95d9,CASE-00140,WOMEN_CHILD_SAFETY,STATE_01_DIST_03_PS_02,STATE_01_DIST_03,STATE_01,COURT_SUBMISSION,HIGH,true,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000079,82c782797dfec3a3d7607e70,CASE-00233,CYBER_FRAUD,STATE_03_DIST_01_PS_03,STATE_03_DIST_01,STATE_03,EVIDENCE_MEDIA,CLASSIFIED,false,false,false,true,OPEN,ARCHIVED,POLICE,false,true
REC-000080,c6da6d4d126acae64aff20b8,CASE-00164,CYBER_FRAUD,STATE_03_DIST_01_PS_03,STATE_03_DIST_01,STATE_03,CYBERCRIME_COMPLAINT,MEDIUM,false,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000081,75366e5d6be5e446e90a9f1e,CASE-00304,WOMEN_CHILD_SAFETY,STATE_03_DIST_02_PS_02,STATE_03_DIST_02,STATE_03,FORENSIC_REPORT,HIGH,true,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000082,1323b2c21c14dc109d79bafa,CASE-00062,VIOLENT_CRIME,STATE_01_DIST_03_PS_02,STATE_01_DIST_03,STATE_01,CYBERCRIME_COMPLAINT,HIGH,false,false,false,false,OPEN,ARCHIVED,POLICE,false,true
REC-000083,2e977ba934961ac3b1ab490d,CASE-00277,MISSING_PERSON,STATE_01_DIST_01_PS_03,STATE_01_DIST_01,STATE_01,FORENSIC_REPORT,HIGH,false,false,false,false,OPEN,ARCHIVED,POLICE,false,true
REC-000084,192d3abc4719be38c5ecb6be,CASE-00036,FINANCIAL_CRIME,STATE_03_DIST_04_PS_02,STATE_03_DIST_04,STATE_03,EVIDENCE_MEDIA,CLASSIFIED,false,false,false,true,OPEN,ACTIVE,POLICE,false,true
REC-000085,b5c178cd2a1f60090f942166,CASE-00160,MISSING_PERSON,STATE_01_DIST_01_PS_02,STATE_01_DIST_01,STATE_01,EVIDENCE_MEDIA,HIGH,false,false,false,true,OPEN,ARCHIVED,POLICE,false,true
REC-000086,3d4b5b64967f8dbf39aeb99e,CASE-00307,NARCOTICS,STATE_02_DIST_01_PS_01,STATE_02_DIST_01,STATE_02,VICTIM_RECORD,HIGH,true,false,false,false,OPEN,UNDER_REVIEW,POLICE,false,true
REC-000087,f1308389961d2199aaa8898b,CASE-00036,FINANCIAL_CRIME,STATE_03_DIST_04_PS_02,STATE_03_DIST_04,STATE_03,FORENSIC_REPORT,HIGH,false,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000088,0efb3356caf516ce494a3f41,CASE-00073,VIOLENT_CRIME,STATE_01_DIST_03_PS_02,STATE_01_DIST_03,STATE_01,CASE_DIARY,HIGH,false,false,false,false,OPEN,UNDER_REVIEW,POLICE,false,true
REC-000089,f7151781855b8ca96dc2f997,CASE-00178,NARCOTICS,STATE_01_DIST_03_PS_01,STATE_01_DIST_03,STATE_01,CASE_DIARY,CLASSIFIED,false,false,false,false,OPEN,ARCHIVED,POLICE,false,true
REC-000090,3e8ae1b2f99378c4d7fbe8bb,CASE-00196,FINANCIAL_CRIME,STATE_02_DIST_04_PS_01,STATE_02_DIST_04,STATE_02,COURT_SUBMISSION,HIGH,false,false,false,false,OPEN,UNDER_REVIEW,POLICE,false,true
REC-000091,b5eb5768404fed7cfcb3176c,CASE-00041,CYBER_FRAUD,STATE_02_DIST_02_PS_02,STATE_02_DIST_02,STATE_02,FIR_SUMMARY,HIGH,false,false,false,false,OPEN,ARCHIVED,POLICE,false,true
REC-000092,8e67f9c2d6007f18c8de9209,CASE-00250,MISSING_PERSON,STATE_03_DIST_01_PS_03,STATE_03_DIST_01,STATE_03,EVIDENCE_MEDIA,CLASSIFIED,false,false,false,true,OPEN,ACTIVE,POLICE,false,true
REC-000093,215ab041d7ba027eff82f6d6,CASE-00139,FINANCIAL_CRIME,STATE_02_DIST_01_PS_03,STATE_02_DIST_01,STATE_02,FIR_SUMMARY,LOW,false,false,false,false,OPEN,ARCHIVED,POLICE,false,true
REC-000094,7d60c16d6ecbadcdbdfa7d7b,CASE-00340,MISSING_PERSON,STATE_03_DIST_01_PS_01,STATE_03_DIST_01,STATE_03,VICTIM_RECORD,CLASSIFIED,true,false,false,false,OPEN,ARCHIVED,POLICE,false,true
REC-000095,4ea55cba83dc306bfa955910,CASE-00204,WOMEN_CHILD_SAFETY,STATE_02_DIST_04_PS_01,STATE_02_DIST_04,STATE_02,EVIDENCE_MEDIA,CLASSIFIED,true,false,false,true,OPEN,ARCHIVED,POLICE,false,true
REC-000096,e1083b56bf8aea3261c52dbd,CASE-00023,FINANCIAL_CRIME,STATE_03_DIST_04_PS_02,STATE_03_DIST_04,STATE_03,JUVENILE_RECORD,CLASSIFIED,false,false,true,false,OPEN,ACTIVE,POLICE,false,true
REC-000097,c3f8c18d15a47d1d26029870,CASE-00303,JUVENILE_PROTECTION,STATE_03_DIST_03_PS_03,STATE_03_DIST_03,STATE_03,COURT_SUBMISSION,MEDIUM,false,false,true,false,OPEN,ACTIVE,POLICE,false,true
REC-000098,fbd5b958423d6f09d2c26b6a,CASE-00185,CYBER_FRAUD,STATE_03_DIST_04_PS_01,STATE_03_DIST_04,STATE_03,EVIDENCE_MEDIA,CLASSIFIED,false,false,false,true,OPEN,ACTIVE,POLICE,false,true
REC-000099,aa31525ccbce63a1ef943aba,CASE-00260,VIOLENT_CRIME,STATE_03_DIST_01_PS_01,STATE_03_DIST_01,STATE_03,EVIDENCE_MEDIA,CLASSIFIED,false,false,false,true,OPEN,UNDER_REVIEW,POLICE,false,true
REC-000100,dbc9514c0caf7dba5d34549f,CASE-00054,WOMEN_CHILD_SAFETY,STATE_03_DIST_04_PS_01,STATE_03_DIST_04,STATE_03,JUVENILE_RECORD,CLASSIFIED,true,false,true,false,OPEN,ARCHIVED,POLICE,false,true
REC-000101,89cb204fbfc33d55534482e2,CASE-00312,WOMEN_CHILD_SAFETY,STATE_03_DIST_03_PS_02,STATE_03_DIST_03,STATE_03,VICTIM_RECORD,HIGH,true,false,false,false,OPEN,ARCHIVED,POLICE,false,true
REC-000102,198325ea87b957803b3bf480,CASE-00086,JUVENILE_PROTECTION,STATE_01_DIST_04_PS_03,STATE_01_DIST_04,STATE_01,VICTIM_RECORD,HIGH,true,false,true,false,OPEN,ARCHIVED,POLICE,false,true
REC-000103,00fe5fb5f78e8a6e10ed89ea,CASE-00190,GENERAL_THEFT,STATE_03_DIST_04_PS_02,STATE_03_DIST_04,STATE_03,EVIDENCE_MEDIA,CLASSIFIED,false,false,false,true,OPEN,ARCHIVED,POLICE,false,true
REC-000104,a677cce772515d48d3a1528e,CASE-00263,JUVENILE_PROTECTION,STATE_03_DIST_02_PS_03,STATE_03_DIST_02,STATE_03,COURT_SUBMISSION,HIGH,false,false,true,false,OPEN,ACTIVE,POLICE,false,true
REC-000105,1a7a075d9c96c7650482fbad,CASE-00323,CYBER_FRAUD,STATE_03_DIST_02_PS_02,STATE_03_DIST_02,STATE_03,WITNESS_STATEMENT,HIGH,false,true,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000106,0ae0abdd95a97e36857f638e,CASE-00180,WOMEN_CHILD_SAFETY,STATE_03_DIST_04_PS_03,STATE_03_DIST_04,STATE_03,FORENSIC_REPORT,CLASSIFIED,true,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000107,e7cce0ac8947d10332441258,CASE-00264,WOMEN_CHILD_SAFETY,STATE_03_DIST_02_PS_03,STATE_03_DIST_02,STATE_03,CASE_DIARY,MEDIUM,true,false,false,false,OPEN,ARCHIVED,POLICE,false,true
REC-000108,12044d787ebe89f0a9bd0dff,CASE-00151,CYBER_FRAUD,STATE_02_DIST_01_PS_01,STATE_02_DIST_01,STATE_02,CASE_DIARY,MEDIUM,false,false,false,false,OPEN,ACTIVE,POLICE,false,true
REC-000109,24f613e6fadac797ca776657,CASE-00320,VIOLENT_CRIME,STATE_02_DIST_03_PS_02,STATE_02_DIST_03,STATE_02,VICTIM_RECORD,HIGH,true,false,false,false,OPEN,ACTIVE,POLICE,false,true
