method_id,scenario_type,requests,accuracy,correct_count,false_allow_count,false_deny_count,false_escalate_count
no_privacy_rules,cross_jurisdiction_sensitive,130,1.0000,130,0,0,0
no_privacy_rules,emergency_override,76,1.0000,76,0,0,0
no_privacy_rules,expired_approval_token,65,1.0000,65,0,0,0
no_privacy_rules,juvenile_sensitive,74,1.0000,74,0,0,0
no_privacy_rules,normal_in_jurisdiction,232,0.8103,188,44,0,0
no_privacy_rules,random_context,109,1.0000,109,0,0,0
no_privacy_rules,revoked_credential,73,1.0000,73,0,0,0
no_privacy_rules,sealed_record,71,1.0000,71,0,0,0
no_privacy_rules,stale_case_assignment,84,1.0000,84,0,0,0
no_sealed_record_rules,court_request,86,0.9535,82,4,0,0
no_sealed_record_rules,cross_jurisdiction_sensitive,130,0.8385,109,0,0,21
no_sealed_record_rules,emergency_override,76,0.8684,66,0,0,10
no_sealed_record_rules,expired_approval_token,65,1.0000,65,0,0,0
no_sealed_record_rules,juvenile_sensitive,74,0.8784,65,0,0,9
no_sealed_record_rules,normal_in_jurisdiction,232,0.8060,187,25,0,20
no_sealed_record_rules,random_context,109,0.8716,95,0,0,14
no_sealed_record_rules,revoked_credential,73,1.0000,73,0,0,0
no_sealed_record_rules,sealed_record,71,0.5915,42,3,0,26
no_sealed_record_rules,stale_case_assignment,84,1.0000,84,0,0,0
no_sensitivity_rules,court_request,86,0.7326,63,18,0,5
no_sensitivity_rules,cross_jurisdiction_sensitive,130,0.9538,124,0,0,6
no_sensitivity_rules,emergency_override,76,0.9737,74,0,0,2
no_sensitivity_rules,expired_approval_token,65,1.0000,65,0,0,0
no_sensitivity_rules,juvenile_sensitive,74,0.9865,73,0,0,1
no_sensitivity_rules,normal_in_jurisdiction,232,1.0000,232,0,0,0
no_sensitivity_rules,random_context,109,0.9174,100,1,0,8
no_sensitivity_rules,revoked_credential,73,1.0000,73,0,0,0
no_sensitivity_rules,sealed_record,71,0.9577,68,0,0,3
no_sensitivity_rules,stale_case_assignment,84,1.0000,84,0,0,0
rbac_role_action_only,court_request,86,0.1977,17,57,12,0
rbac_role_action_only,cross_jurisdiction_sensitive,130,0.1077,14,105,11,0
rbac_role_action_only,emergency_override,76,0.0921,7,58,11,0
rbac_role_action_only,expired_approval_token,65,0.2154,14,51,0,0
rbac_role_action_only,juvenile_sensitive,74,0.0811,6,67,1,0
rbac_role_action_only,normal_in_jurisdiction,232,0.4612,107,125,0,0
rbac_role_action_only,random_context,109,0.2569,28,67,14,0
rbac_role_action_only,revoked_credential,73,1.0000,73,0,0,0
rbac_role_action_only,sealed_record,71,0.0986,7,59,5,0
rbac_role_action_only,stale_case_assignment,84,0.2024,17,67,0,0
